/* L = 32, Z = 27000 */
/* p;ocurrencias de percolacion;Masa promedio */
0.541600;2555;708766
0.541700;2664;737723
0.541800;2675;741083
0.541900;2699;752585
0.542000;2634;730750
0.542100;2643;733982
0.542200;2694;749599
0.542300;2650;732119
0.542400;2671;745140
0.542500;2684;749789
0.542600;2680;753115
0.542700;2804;772825
0.542800;2821;777723
0.542900;2752;762518
0.543000;2658;739907
0.543100;2806;772816
0.543200;2819;777365
0.543300;2868;804781
0.543400;2762;775695
0.543500;2773;779107
0.543600;2789;786802
0.543700;2736;770889
0.543800;2751;775783
0.543900;2894;813786
0.544000;2938;825669
0.544100;2908;820191
0.544200;2920;823615
0.544300;2942;832145
0.544400;2968;823769
0.544500;2978;827201
0.544600;2969;837567
0.544700;2987;842562
0.544800;3102;871743
0.544900;3123;878148
0.545000;3035;861712
0.545100;2990;846615
0.545200;3005;851517
0.545300;3094;872799
0.545400;3143;893514
0.545500;3036;862460
0.545600;3044;865752
0.545700;3094;873865
0.545800;3121;898433
0.545900;3138;904346
0.546000;3078;874329
0.546100;3184;903406
0.546200;3207;910433
0.546300;3205;909343
0.546400;3275;932032
0.546500;3187;916008
0.546600;3199;919747
0.546700;3313;956165
0.546800;3342;963172
0.546900;3357;968553
0.547000;3246;934221
0.547100;3308;956050
0.547200;3357;969246
0.547300;3373;974629
0.547400;3343;968811
0.547500;3344;963402
0.547600;3361;969117
0.547700;3362;981812
0.547800;3430;987541
0.547900;3445;992444
0.548000;3377;976153
0.548100;3486;1014095
0.548200;3375;977642
0.548300;3391;983245
0.548400;3545;1027938
0.548500;3529;1025581
0.548600;3545;1030260
0.548700;3537;1032489
0.548800;3480;1003171
0.548900;3560;1041997
0.549000;3575;1046792
0.549100;3542;1034438
0.549200;3675;1073002
0.549300;3686;1077132
0.549400;3644;1060232
0.549500;3650;1062040
0.549600;3669;1072531
0.549700;3680;1076816
0.549800;3677;1079241
0.549900;3643;1071039
0.550000;3662;1077248
0.550100;3632;1071637
0.550200;3771;1118196
0.550300;3787;1123360
0.550400;3761;1116543
0.550500;3733;1094989
0.550600;3729;1103870
0.550700;3741;1107840
0.550800;3861;1142131
0.550900;3872;1143854
0.551000;3890;1149864
0.551100;3762;1109797
0.551200;3907;1156197
0.551300;3957;1172751
0.551400;3969;1177316
0.551500;3931;1163326
0.551600;4076;1210742
0.551700;4088;1214920
0.551800;4025;1194630
0.551900;3882;1152627
0.552000;3903;1159536
0.552100;3944;1184263
0.552200;4039;1200430
0.552300;4089;1221115
0.552400;4098;1224775
0.552500;4138;1252160
0.552600;4013;1207715
0.552700;4032;1214159
0.552800;4002;1199334
0.552900;4231;1264999
0.553000;4115;1238478
0.553100;4132;1243869
0.553200;4130;1236220
0.553300;4202;1253283
0.553400;4219;1259321
0.553500;4276;1281032
0.553600;4195;1265130
0.553700;4215;1272353
0.553800;4308;1300408
0.553900;4336;1304755
0.554000;4392;1336203
0.554100;4415;1343665
0.554200;4399;1332694
0.554300;4343;1308520
0.554400;4360;1315043
0.554500;4396;1336786
0.554600;4307;1299488
0.554700;4422;1335505
0.554800;4440;1341629
0.554900;4341;1322662
0.555000;4651;1410397
0.555100;4667;1416754
0.555200;4617;1398154
0.555300;4517;1378398
0.555400;4625;1409082
0.555500;4641;1414876
0.555600;4591;1406440
0.555700;4607;1396263
0.555800;4637;1406086
0.555900;4612;1412322
0.556000;4696;1440508
0.556100;4637;1435748
0.556200;4651;1441485
0.556300;4579;1412091
0.556400;4692;1444486
0.556500;4717;1453334
0.556600;4662;1436198
0.556700;4909;1522005
0.556800;4730;1452765
0.556900;4750;1460502
0.557000;4871;1514078
0.557100;4902;1507165
0.557200;4915;1512992
0.557300;4863;1513345
0.557400;4866;1519660
0.557500;4884;1526604
0.557600;4872;1518176
0.557700;5069;1566823
0.557800;4959;1542476
0.557900;4973;1549418
0.558000;5086;1580680
0.558100;5082;1578165
0.558200;5095;1583823
0.558300;5052;1575801
0.558400;5011;1565378
0.558500;5140;1610936
0.558600;5158;1618070
0.558700;5139;1603540
0.558800;5135;1613070
0.558900;5158;1621251
0.559000;5166;1621059
0.559100;5169;1623918
0.559200;5121;1616246
0.559300;5134;1621707
0.559400;5351;1695967
0.559500;5269;1663287
0.559600;5284;1669682
0.559700;5320;1671990
0.559800;5287;1663932
0.559900;5306;1671634
0.560000;5372;1696613
0.560100;5340;1696547
0.560200;5376;1697810
0.560300;5401;1706066
0.560400;5492;1734973
0.560500;5474;1742669
0.560600;5403;1719141
0.560700;5419;1725259
0.560800;5624;1788663
0.560900;5577;1778808
0.561000;5596;1786047
0.561100;5742;1838782
0.561200;5478;1734151
0.561300;5485;1737927
0.561400;5705;1812067
0.561500;5653;1802078
0.561600;5787;1852905
0.561700;5803;1859078
0.561800;5660;1809475
0.561900;5770;1847973
0.562000;5784;1853805
0.562100;5859;1905765
0.562200;5742;1839869
0.562300;5867;1895257
0.562400;5887;1902987
0.562500;5956;1912304
0.562600;5925;1911549
0.562700;5945;1919461
0.562800;6025;1942818
0.562900;5924;1920112
0.563000;5849;1886344
0.563100;5869;1893454
0.563200;5941;1926712
0.563300;5865;1886299
0.563400;5887;1894480
0.563500;6143;1995916
0.563600;6029;1966450
0.563700;6159;2008191
0.563800;6175;2014677
0.563900;6255;2036494
0.564000;6141;1991782
0.564100;6162;2000560
0.564200;6212;2020416
0.564300;6289;2058576
0.564400;6315;2068023
0.564500;6394;2093457
0.564600;6206;2022770
0.564700;6325;2068680
0.564800;6345;2076534
0.564900;6405;2102420
0.565000;6384;2085685
0.565100;6405;2094283
0.565200;6364;2088371
0.565300;6430;2104549
0.565400;6450;2109582
0.565500;6471;2117546
0.565600;6486;2135651
0.565700;6462;2115764
0.565800;6474;2120737
0.565900;6557;2158789
0.566000;6607;2186615
0.566100;6599;2196819
0.566200;6621;2205904
0.566300;6714;2208843
0.566400;6619;2197858
0.566500;6644;2208164
0.566600;6697;2221865
0.566700;6751;2240196
0.566800;6718;2238645
0.566900;6736;2246517
0.567000;6780;2261319
0.567100;6914;2302281
0.567200;6932;2310105
0.567300;6829;2270352
0.567400;7003;2337550
0.567500;7023;2346228
0.567600;6983;2316476
0.567700;6973;2339128
0.567800;7068;2363165
0.567900;7094;2373269
0.568000;7057;2369849
0.568100;7003;2347301
0.568200;7029;2357142
0.568300;7162;2393934
0.568400;7146;2400716
0.568500;7088;2391923
0.568600;7122;2404497
0.568700;7176;2426109
0.568800;6989;2359089
0.568900;7012;2369150
0.569000;7176;2422291
0.569100;7321;2479963
0.569200;7271;2456644
0.569300;7292;2466101
0.569400;7356;2496334
0.569500;7301;2484078
0.569600;7313;2491145
0.569700;7388;2498049
0.569800;7538;2552009
0.569900;7407;2512760
0.570000;7427;2522186
0.570100;7430;2520627
0.570200;7619;2597836
0.570300;7644;2607624
0.570400;7538;2571491
0.570500;7548;2590511
0.570600;7573;2590194
0.570700;7599;2601549
0.570800;7716;2624692
0.570900;7589;2606809
0.571000;7612;2616901
0.571100;7634;2619313
0.571200;7883;2718498
0.571300;7708;2657005
0.571400;7721;2662846
0.571500;7850;2703885
0.571600;7875;2720280
0.571700;7898;2729346
0.571800;7830;2689404
0.571900;8034;2780090
0.572000;7920;2732060
0.572100;7934;2739539
0.572200;7964;2770638
0.572300;8030;2779476
0.572400;8051;2788994
0.572500;8035;2780904
0.572600;8124;2824288
0.572700;8159;2825502
0.572800;8179;2834259
0.572900;8223;2856446
0.573000;8176;2857168
0.573100;8205;2870477
0.573200;8155;2825758
0.573300;8221;2856680
0.573400;8365;2924417
0.573500;8401;2939188
0.573600;8460;2947812
0.573700;8372;2926564
0.573800;8412;2942259
0.573900;8291;2873114
0.574000;8421;2936709
0.574100;8440;2955698
0.574200;8468;2968370
0.574300;8438;2959158
0.574400;8617;3031863
0.574500;8641;3042719
0.574600;8600;3034795
0.574700;8616;3026962
0.574800;8523;3007922
0.574900;8539;3016064
0.575000;8664;3047064
0.575100;8711;3070825
0.575200;8722;3077688
0.575300;8635;3060811
0.575400;8780;3113187
0.575500;8785;3093735
0.575600;8811;3106125
0.575700;8737;3099708
0.575800;8866;3148629
0.575900;8894;3160818
0.576000;8776;3124623
0.576100;8948;3197545
0.576200;8967;3206018
0.576300;9002;3200359
0.576400;9222;3288203
0.576500;9166;3261948
