/* L = 64, Z = 27000 */
/* p;ocurrencias de percolacion;Masa promedio */
0.545300;588;464789
0.545400;632;509741
0.545500;633;514004
0.545600;624;502825
0.545700;650;530585
0.545800;715;574669
0.545900;690;562845
0.546000;648;521006
0.546100;739;601823
0.546200;688;558797
0.546300;717;582891
0.546400;741;600658
0.546500;767;625231
0.546600;737;599726
0.546700;729;596350
0.546800;753;611670
0.546900;706;585581
0.547000;712;584293
0.547100;800;651544
0.547200;762;622535
0.547300;794;652008
0.547400;764;627344
0.547500;797;658155
0.547600;818;669141
0.547700;863;707573
0.547800;768;634125
0.547900;824;686249
0.548000;806;676996
0.548100;808;673292
0.548200;866;712511
0.548300;823;690991
0.548400;860;724805
0.548500;857;702607
0.548600;898;748243
0.548700;851;727060
0.548800;916;766339
0.548900;904;762613
0.549000;858;713327
0.549100;910;774003
0.549200;914;753968
0.549300;946;798682
0.549400;944;789550
0.549500;944;780685
0.549600;961;812988
0.549700;924;777131
0.549800;936;785158
0.549900;948;795641
0.550000;994;852118
0.550100;1010;850935
0.550200;977;833517
0.550300;1018;883576
0.550400;1037;886781
0.550500;993;847196
0.550600;1019;876559
0.550700;1046;891906
0.550800;993;862090
0.550900;1059;910901
0.551000;990;846631
0.551100;1121;951814
0.551200;1093;940127
0.551300;1122;966007
0.551400;1133;981863
0.551500;1112;969835
0.551600;1131;985098
0.551700;1166;1001044
0.551800;1088;936756
0.551900;1142;983440
0.552000;1118;960687
0.552100;1193;1049487
0.552200;1220;1069604
0.552300;1198;1044764
0.552400;1260;1095872
0.552500;1244;1100489
0.552600;1232;1084886
0.552700;1210;1069684
0.552800;1294;1133540
0.552900;1268;1120378
0.553000;1263;1113987
0.553100;1240;1092858
0.553200;1298;1150424
0.553300;1299;1157474
0.553400;1238;1094270
0.553500;1326;1177005
0.553600;1325;1168373
0.553700;1308;1140530
0.553800;1369;1232850
0.553900;1307;1171483
0.554000;1372;1234204
0.554100;1343;1197558
0.554200;1444;1284631
0.554300;1369;1228140
0.554400;1380;1229258
0.554500;1478;1319766
0.554600;1486;1343717
0.554700;1395;1251443
0.554800;1479;1337499
0.554900;1429;1312947
0.555000;1498;1355692
0.555100;1555;1417351
0.555200;1550;1402808
0.555300;1511;1370882
0.555400;1584;1445367
0.555500;1563;1409078
0.555600;1543;1408528
0.555700;1529;1416009
0.555800;1607;1465966
