/* L 6 Z 100000 */
/* probabilidad; segundo momento */
0.572300;8961879
0.572400;8962720
0.572500;8930733
0.572600;8927629
0.572700;8927494
0.572800;8924221
0.572900;8922839
0.573000;8919579
0.573100;8916584
0.573200;8913137
0.573300;8987039
0.573400;8984594
0.573500;8982574
0.573600;8981806
0.573700;8982238
0.573800;8979074
0.573900;8976393
0.574000;8973339
0.574100;8886247
0.574200;8886202
0.574300;8882620
0.574400;8881510
0.574500;8879549
0.574600;8878784
0.574700;8878479
0.574800;8965752
0.574900;8965717
0.575000;8964735
0.575100;8962031
0.575200;8958410
0.575300;8956843
0.575400;8954966
0.575500;8950602
0.575600;8873821
0.575700;8873911
0.575800;8873741
0.575900;8873463
0.576000;8871925
0.576100;8870765
0.576200;8868764
0.576300;8869276
0.576400;8900944
0.576500;8900683
0.576600;8900319
0.576700;8898242
0.576800;8896048
0.576900;8894322
0.577000;8891597
0.577100;8909497
0.577200;8909541
0.577300;8909702
0.577400;8908176
0.577500;8904835
0.577600;8903484
0.577700;8901951
0.577800;8901515
0.577900;8832105
0.578000;8832007
0.578100;8826310
0.578200;8824834
0.578300;8823510
0.578400;8822893
0.578500;8821596
0.578600;8818544
0.578700;8841717
0.578800;8840530
0.578900;8836196
0.579000;8833535
0.579100;8833310
0.579200;8831533
0.579300;8830159
0.579400;8829470
0.579500;8882516
0.579600;8882151
0.579700;8880781
0.579800;8880763
0.579900;8881178
0.580000;8878662
0.580100;8878468
0.580200;8774558
0.580300;8773847
0.580400;8773079
0.580500;8769301
0.580600;8768279
0.580700;8766136
0.580800;8764792
0.580900;8763304
0.581000;8773930
0.581100;8769992
0.581200;8768011
0.581300;8766451
0.581400;8765265
0.581500;8763226
0.581600;8760394
0.581700;8760562
0.581800;8762696
0.581900;8760633
0.582000;8758514
0.582100;8756821
0.582200;8753443
0.582300;8749898
0.582400;8749351
0.582500;8781856
0.582600;8780715
0.582700;8780247
0.582800;8776565
0.582900;8776054
0.583000;8773798
0.583100;8775392
0.583200;8773912
0.583300;8770554
0.583400;8769977
0.583500;8768049
0.583600;8763865
0.583700;8763821
0.583800;8762126
0.583900;8759374
0.584000;8742659
0.584100;8739959
0.584200;8738039
0.584300;8736874
0.584400;8735712
0.584500;8734567
0.584600;8732805
0.584700;8731468
0.584800;8746445
0.584900;8743208
0.585000;8741641
0.585100;8739796
0.585200;8738015
0.585300;8736876
0.585400;8736726
0.585500;8733840
0.585600;8790842
0.585700;8789764
0.585800;8788323
0.585900;8785927
